,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
0,2048,8,1,1,None,0.0022943366784602404,1.422652006149292,32,64,V100
1,256,2,1,0,None,0.0021916674450039864,0.17914915084838867,32,64,V100
2,128,1,1,4,None,0.0021907167974859476,0.14697480201721191,32,64,V100
3,32,16,1,5,None,0.002190544269979,0.13094210624694824,32,64,V100
4,16,2,1,3,None,0.002275483449921012,0.16355586051940918,32,64,V100
5,256,1,1,5,None,0.0022671930491924286,0.15868687629699707,32,64,V100
6,64,32,1,2,None,0.0022967769764363766,0.14310145378112793,32,64,V100
7,4096,16,1,2,None,0.002506477991119027,0.17344188690185547,32,64,V100
8,512,4,1,5,None,0.002042547333985567,0.0015277862548828125,32,64,V100
9,1024,4,1,4,None,0.0021269628778100014,0.16593599319458008,32,64,V100
10,2048,4,1,1,None,0.002715126844123006,0.0016078948974609375,32,64,V100
11,64,4,1,4,None,0.0020075044594705105,0.12828612327575684,32,64,V100
12,1024,1,1,1,None,0.0027678715996444225,0.25601983070373535,32,64,V100
13,16,1,1,1,None,0.00207575224339962,0.13699626922607422,32,64,V100
14,32,16,1,2,None,0.002010336145758629,0.1405942440032959,32,64,V100
15,128,32,1,4,None,0.0020935293287038803,0.001516580581665039,32,64,V100
16,4096,2,1,2,None,0.005248036701232195,0.34882521629333496,32,64,V100
17,256,16,1,0,None,0.0019778457935899496,0.13953518867492676,32,64,V100
18,64,32,1,3,None,0.002105851424857974,0.14540529251098633,32,64,V100
19,16,8,1,0,None,0.0020905304700136185,0.001554727554321289,32,64,V100
20,64,16,1,2,None,0.0020045379642397165,0.13388466835021973,32,64,V100
21,64,8,1,1,None,0.001963756512850523,0.13406705856323242,32,64,V100
22,128,2,1,0,None,0.0019854160491377115,0.13973784446716309,32,64,V100
23,4096,1,1,3,None,0.009066883474588394,0.0017309188842773438,32,64,V100
24,8192,32,1,3,None,0.003146194852888584,0.15925312042236328,32,64,V100
25,32,2,1,3,None,0.001973997103050351,0.14281845092773438,32,64,V100
26,1024,1,1,0,None,0.0026919646188616753,0.2534658908843994,32,64,V100
27,512,8,1,0,None,0.0019806018099188805,0.1432633399963379,32,64,V100
28,16,2,1,5,None,0.0020844140090048313,0.1314537525177002,32,64,V100
