,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
0,2048,8,1,1,None,0.017336063086986542,1.5718142986297607,128,4096,V100
1,256,2,1,0,None,0.0084342360496521,0.001459360122680664,128,4096,V100
2,128,1,1,4,None,0.008425060659646988,0.0020656585693359375,128,4096,V100
3,32,16,1,5,None,0.03734618425369263,0.13734173774719238,128,4096,V100
4,16,2,1,3,None,0.05311437323689461,0.16243577003479004,128,4096,V100
5,256,1,1,5,None,0.008575279265642166,0.15421676635742188,128,4096,V100
6,64,32,1,2,None,0.04289348050951958,0.1376333236694336,128,4096,V100
7,4096,16,1,2,None,0.03202763572335243,0.1638638973236084,128,4096,V100
8,512,4,1,5,None,0.008476181887090206,0.0016131401062011719,128,4096,V100
9,1024,4,1,4,None,0.009586695581674576,0.15363407135009766,128,4096,V100
10,2048,4,1,1,None,0.01741034910082817,0.0014660358428955078,128,4096,V100
11,64,4,1,4,None,0.0148075046017766,0.13468289375305176,128,4096,V100
12,1024,1,1,1,None,0.011065441183745861,0.24983596801757812,128,4096,V100
13,16,1,1,1,None,0.05303461477160454,0.13198232650756836,128,4096,V100
14,32,16,1,2,None,0.037244610488414764,0.13950181007385254,128,4096,V100
15,128,32,1,4,None,0.022925281897187233,0.0016739368438720703,128,4096,V100
16,4096,2,1,2,None,0.0371721051633358,0.35451173782348633,128,4096,V100
17,256,16,1,0,None,0.010955232195556164,0.14262866973876953,128,4096,V100
18,64,32,1,3,None,0.042890701442956924,0.1318511962890625,128,4096,V100
19,16,8,1,0,None,0.053224820643663406,0.0015845298767089844,128,4096,V100
20,64,16,1,2,None,0.019816597923636436,0.1428203582763672,128,4096,V100
21,64,8,1,1,None,0.01490007247775793,0.13460683822631836,128,4096,V100
22,128,2,1,0,None,0.008410943672060966,0.14010024070739746,128,4096,V100
23,4096,1,1,3,None,0.04373319447040558,0.0016489028930664062,128,4096,V100
24,8192,32,1,3,None,0.06199556589126587,0.16216230392456055,128,4096,V100
25,32,2,1,3,None,0.027536358684301376,0.1312565803527832,128,4096,V100
26,1024,1,1,0,None,0.011076513677835464,0.24999475479125977,128,4096,V100
27,512,8,1,0,None,0.008521798066794872,0.13795065879821777,128,4096,V100
28,16,2,1,5,None,0.053087517619132996,0.1338207721710205,128,4096,V100
29,4096,1,1,0,None,0.0437350831925869,0.637134313583374,128,4096,V100
30,1024,4,1,1,None,0.009585686959326267,0.16214656829833984,128,4096,V100
31,8192,32,1,1,None,0.061988379806280136,0.15083575248718262,128,4096,V100
32,8192,4,1,3,None,0.0698728933930397,0.3480043411254883,128,4096,V100
33,8192,32,1,0,None,0.06199353188276291,0.15907573699951172,128,4096,V100
34,2048,32,1,5,None,0.027665140107274055,0.0015101432800292969,128,4096,V100
35,4096,1,1,2,None,0.043909702450037,0.6364531517028809,128,4096,V100
36,256,8,1,1,None,0.008510001003742218,0.13840341567993164,128,4096,V100
37,2048,4,1,4,None,0.01741114631295204,0.18211960792541504,128,4096,V100
38,512,8,1,3,None,0.00852091796696186,0.14481449127197266,128,4096,V100
39,1024,1,1,5,None,0.011065189726650715,0.25448179244995117,128,4096,V100
40,512,16,1,0,None,0.010657801292836666,0.1272597312927246,128,4096,V100
41,2048,16,1,4,None,0.01892748288810253,0.1498277187347412,128,4096,V100
42,64,4,1,5,None,0.0148091996088624,0.1337449550628662,128,4096,V100
43,128,4,1,2,None,0.00843888521194458,0.1343994140625,128,4096,V100
44,32,8,1,5,None,0.02767442911863327,0.14159750938415527,128,4096,V100
45,2048,32,1,4,None,0.027662722393870354,0.14232659339904785,128,4096,V100
