,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
0,2048,2,4,0.9615359902381897,12778,19656,A100
1,512,4,0,1.0475519895553589,12778,19656,A100
2,256,4,0,1.1724799871444702,12778,19656,A100
3,1024,1,4,0.9584640264511108,12778,19656,A100
4,8192,1,5,11.918335914611816,12778,19656,A100
5,1024,8,0,0.9861119985580444,12778,19656,A100
6,16,8,2,16.397823333740234,12778,19656,A100
7,16,32,1,64.33280181884766,12778,19656,A100
8,8192,4,5,0.8954880237579346,12778,19656,A100
9,8192,32,5,4.97049617767334,12778,19656,A100
10,8192,16,5,4.774911880493164,12778,19656,A100
11,512,1,3,4.782079696655273,12778,19656,A100
12,64,1,4,4.847616195678711,12778,19656,A100
13,128,1,4,4.8460798263549805,12778,19656,A100
14,4096,2,3,4.825088024139404,12778,19656,A100
15,32,4,5,4.419072151184082,12778,19656,A100
16,1024,4,2,4.419584274291992,12778,19656,A100
17,64,1,1,4.698624134063721,12778,19656,A100
18,64,4,1,4.011007785797119,12778,19656,A100
19,2048,2,4,0.21401600539684296,7533,6510,A100
20,512,4,0,0.21094399690628052,7533,6510,A100
21,256,4,0,0.21606400609016418,7533,6510,A100
22,1024,1,4,0.2181120067834854,7533,6510,A100
23,8192,1,5,3.497471809387207,7533,6510,A100
24,1024,8,0,0.21503999829292297,7533,6510,A100
25,16,8,2,3.176448106765747,7533,6510,A100
26,16,32,1,12.526592254638672,7533,6510,A100
27,8192,4,5,0.23449599742889404,7533,6510,A100
28,512,16,0,4.624383926391602,7533,6510,A100
29,2048,2,3,4.752384185791016,7533,6510,A100
30,2048,2,4,0.08499199897050858,939,13440,A100
31,512,4,0,0.0655359998345375,939,13440,A100
32,256,4,0,0.06963200122117996,939,13440,A100
33,1024,1,4,0.06348799914121628,939,13440,A100
34,8192,1,5,6.793727874755859,939,13440,A100
35,1024,8,0,0.060416001826524734,939,13440,A100
36,16,8,2,0.8314880132675171,939,13440,A100
37,16,32,1,3.2235519886016846,939,13440,A100
38,8192,4,5,0.33792001008987427,939,13440,A100
39,128,8,0,4.767744064331055,939,13440,A100
40,8192,16,0,4.76467227935791,939,13440,A100
