,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,runtime,M,N,K,GPU
0,128,16,128,1,8,0,0.07887999713420868,2048,1024,2,V100
1,32,32,32,16,4,0,0.020479999482631683,2048,1024,2,V100
2,16,256,128,1,2,2,0.060416001826524734,2048,1024,2,V100
3,128,32,16,2,16,2,0.01945599913597107,2048,1024,2,V100
4,256,16,32,16,8,2,0.02252800017595291,2048,1024,2,V100
5,256,16,128,2,4,0,3.0382080078125,2048,1024,2,V100
6,128,16,64,16,2,3,0.0727040022611618,2048,1024,2,V100
7,256,128,64,4,1,0,1.2175359725952148,2048,1024,2,V100
8,16,16,64,1,1,0,0.02969600073993206,2048,1024,2,V100
9,16,64,32,4,16,2,0.05632000043988228,2048,1024,2,V100
10,128,32,16,8,16,0,inf,2048,1024,2,V100
11,64,32,16,2,16,2,inf,2048,1024,2,V100
12,32,32,256,16,4,0,inf,2048,1024,2,V100
13,256,32,256,4,4,0,inf,2048,1024,2,V100
14,128,16,128,1,8,0,0.038943998515605927,4,4,2048,V100
15,128,16,128,1,8,0,0.0071680000983178616,16,16,32,V100
16,32,32,32,16,4,0,0.006144000217318535,16,16,32,V100
17,16,256,128,1,2,2,0.013311999849975109,16,16,32,V100
18,128,32,16,2,16,2,0.008191999979317188,16,16,32,V100
19,256,16,32,16,8,2,0.006144000217318535,16,16,32,V100
20,256,16,128,2,4,0,0.010239999741315842,16,16,32,V100
21,128,16,64,16,2,3,0.008191999979317188,16,16,32,V100
22,256,128,64,4,1,0,0.5693119764328003,16,16,32,V100
23,16,16,64,1,1,0,0.006144000217318535,16,16,32,V100
24,16,64,32,4,16,2,0.0071680000983178616,16,16,32,V100
25,128,32,32,1,8,1,inf,16,16,32,V100
26,16,16,256,1,2,0,inf,16,16,32,V100
27,128,16,128,1,8,0,0.011264000087976456,8192,1,128,V100
28,128,16,128,1,8,0,0.3901439905166626,4,2048,16384,V100
29,128,16,128,1,8,0,0.0071680000983178616,2,1024,32,V100
30,128,16,128,1,8,0,0.008191999979317188,1024,2,16,V100
31,128,16,128,1,8,0,0.2529279887676239,32,512,16384,V100
32,128,16,128,1,8,0,0.010239999741315842,4096,8,2,V100
33,128,16,128,1,8,0,0.22937600314617157,4096,256,2048,V100
34,128,16,128,1,8,0,0.05222399905323982,2048,1024,1,V100
